subject_id,dataset,b0_max_lifespan,b0_sum_lifespan,b1_count,b1_max_lifespan,persistence_entropy
01_test,DRIVE,12.3037,20.7638,0,0.0,0.0
02_test,DRIVE,6.0531,6.0531,0,0.0,0.0
03_test,DRIVE,1.5601,2.1219,0,0.0,0.0
04_test,DRIVE,6.1383,8.3604,0,0.0,0.0
05_test,DRIVE,19.3929,73.8542,0,0.0,0.0
06_test,DRIVE,33.4118,69.729,0,0.0,0.0
07_test,DRIVE,0.4834,0.8274,0,0.0,0.0
08_test,DRIVE,8.3814,10.1419,0,0.0,0.0
09_test,DRIVE,1.086,1.086,0,0.0,0.0
10_test,DRIVE,6.9754,13.3885,0,0.0,0.0
11_test,DRIVE,5.496,6.3648,0,0.0,0.0
12_test,DRIVE,0.0,0.0,0,0.0,0.0
13_test,DRIVE,15.2288,15.2288,0,0.0,0.0
14_test,DRIVE,3.7154,8.2263,0,0.0,0.0
15_test,DRIVE,49.9629,59.1824,0,0.0,0.0
16_test,DRIVE,5.8203,11.2921,0,0.0,0.0
17_test,DRIVE,0.0,0.0,0,0.0,0.0
18_test,DRIVE,9.4003,9.5218,0,0.0,0.0
19_test,DRIVE,16.2539,36.9827,0,0.0,0.0
20_test,DRIVE,0.0,0.0,0,0.0,0.0
STAR 01_OSC,IOSTAR,14.4022,35.0119,0,0.0,0.0
STAR 02_ODC,IOSTAR,34.5303,73.5059,0,0.0,0.0
STAR 03_OSN,IOSTAR,138.686,178.6613,0,0.0,0.0
STAR 05_ODC,IOSTAR,20.8834,65.9732,0,0.0,0.0
STAR 06_ODN,IOSTAR,81.2523,151.9841,0,0.0,0.0
STAR 08_OSN,IOSTAR,6.7381,19.0907,0,0.0,0.0
STAR 09_OSN,IOSTAR,102.5085,200.814,0,0.0,0.0
STAR 10_OSN,IOSTAR,13.0736,17.9148,0,0.0,0.0
STAR 13_OSN,IOSTAR,10.5759,18.3561,0,0.0,0.0
STAR 15_OSN,IOSTAR,10.2877,38.6051,0,0.0,0.0
STAR 16_OSN,IOSTAR,10.4205,13.302,0,0.0,0.0
STAR 17_ODN,IOSTAR,100.217,173.8447,0,0.0,0.0
STAR 20_ODC,IOSTAR,10.7003,40.0365,0,0.0,0.0
STAR 21_OSC,IOSTAR,7.2494,23.0526,0,0.0,0.0
STAR 24_OSC,IOSTAR,5.0724,14.4327,0,0.0,0.0
STAR 26_ODC,IOSTAR,31.6175,91.3995,0,0.0,0.0
STAR 28_ODN,IOSTAR,12.6242,33.4608,0,0.0,0.0
STAR 30_ODC,IOSTAR,33.0672,105.8985,0,0.0,0.0
STAR 31_ODN,IOSTAR,2.2843,2.2843,0,0.0,0.0
STAR 32_ODC,IOSTAR,44.1333,192.1901,0,0.0,0.0
STAR 34_ODC,IOSTAR,24.479,148.2616,0,0.0,0.0
STAR 36_OSC,IOSTAR,83.9835,158.6999,0,0.0,0.0
STAR 37_ODN,IOSTAR,19.6268,104.9015,0,0.0,0.0
STAR 38_ODC,IOSTAR,24.4123,93.4765,0,0.0,0.0
STAR 39_ODC,IOSTAR,45.5046,165.7308,0,0.0,0.0
STAR 40_OSC,IOSTAR,47.0274,117.4271,0,0.0,0.0
STAR 43_OSC,IOSTAR,25.2903,96.8176,0,0.0,0.0
STAR 44_OSN,IOSTAR,44.1776,123.8666,0,0.0,0.0
STAR 45_ODC,IOSTAR,16.8662,71.6057,0,0.0,0.0
STAR 48_OSN,IOSTAR,122.3174,230.3123,0,0.0,0.0
