subject_id,dataset,fractal_dimension,AVR,flood_b0_max_lifespan,flood_b0_sum_lifespan,flood_b1_count,flood_b1_max_lifespan,flood_persistence_entropy
01_test,DRIVE,1.447937,0.0,0.0,0.0,0,0.0,0.0
02_test,DRIVE,1.434736,0.0,0.0,0.0,0,0.0,0.0
03_test,DRIVE,1.455048,0.0,0.0,0.0,0,0.0,0.0
04_test,DRIVE,1.44166,0.0,0.0,0.0,0,0.0,0.0
05_test,DRIVE,1.424529,0.0,0.0,0.0,0,0.0,0.0
06_test,DRIVE,1.4032,0.0,0.0,0.0,0,0.0,0.0
07_test,DRIVE,1.400669,0.0,0.0,0.0,0,0.0,0.0
08_test,DRIVE,1.377694,0.0,0.0,0.0,0,0.0,0.0
09_test,DRIVE,1.315038,0.0,0.0,0.0,0,0.0,0.0
10_test,DRIVE,1.412216,0.0,0.0,0.0,0,0.0,0.0
11_test,DRIVE,1.368502,0.0,0.0,0.0,0,0.0,0.0
12_test,DRIVE,1.36569,0.0,0.0,0.0,0,0.0,0.0
13_test,DRIVE,1.340872,1.198748,0.0,0.0,0,0.0,0.0
14_test,DRIVE,1.431455,0.0,0.0,0.0,0,0.0,0.0
15_test,DRIVE,1.478968,0.0,2.337,2.337,0,0.0,0.0
16_test,DRIVE,1.413815,0.0,0.0,0.0,0,0.0,0.0
17_test,DRIVE,1.313283,0.0,0.0,0.0,0,0.0,0.0
18_test,DRIVE,1.362693,0.0,0.0,0.0,0,0.0,0.0
19_test,DRIVE,1.473222,0.0,0.0,0.0,0,0.0,0.0
20_test,DRIVE,1.356361,0.566934,0.0,0.0,0,0.0,0.0
STAR 01_OSC,IOSTAR,1.48701,0.0,0.0,0.0,0,0.0,0.0
STAR 02_ODC,IOSTAR,1.523606,0.0,0.0,0.0,0,0.0,0.0
STAR 03_OSN,IOSTAR,1.496774,0.0,0.0,0.0,0,0.0,0.0
STAR 05_ODC,IOSTAR,1.47615,0.0,0.0,0.0,0,0.0,0.0
STAR 06_ODN,IOSTAR,1.50566,0.0,2.499,2.499,0,0.0,0.0
STAR 08_OSN,IOSTAR,1.521805,0.0,0.0,0.0,0,0.0,0.0
STAR 09_OSN,IOSTAR,1.504965,0.0,0.0,0.0,0,0.0,0.0
STAR 10_OSN,IOSTAR,1.433069,0.0,0.0,0.0,0,0.0,0.0
STAR 13_OSN,IOSTAR,1.477794,0.0,0.0,0.0,0,0.0,0.0
STAR 15_OSN,IOSTAR,1.51061,0.0,0.0,0.0,0,0.0,0.0
STAR 16_OSN,IOSTAR,1.445982,0.0,0.0,0.0,0,0.0,0.0
STAR 17_ODN,IOSTAR,1.508967,0.0,3.068,3.068,0,0.0,0.0
STAR 20_ODC,IOSTAR,1.481193,0.0,0.0,0.0,0,0.0,0.0
STAR 21_OSC,IOSTAR,1.526482,0.0,0.0,0.0,0,0.0,0.0
STAR 24_OSC,IOSTAR,1.406983,0.0,0.0,0.0,0,0.0,0.0
STAR 26_ODC,IOSTAR,1.529644,0.0,0.0,0.0,0,0.0,0.0
STAR 28_ODN,IOSTAR,1.51369,0.0,0.0,0.0,0,0.0,0.0
STAR 30_ODC,IOSTAR,1.511676,0.0,0.0,0.0,0,0.0,0.0
STAR 31_ODN,IOSTAR,1.479616,0.0,0.0,0.0,0,0.0,0.0
STAR 32_ODC,IOSTAR,1.517663,0.0,0.0,0.0,0,0.0,0.0
STAR 34_ODC,IOSTAR,1.519365,0.0,0.0,0.0,0,0.0,0.0
STAR 36_OSC,IOSTAR,1.49725,0.0,0.0,0.0,0,0.0,0.0
STAR 37_ODN,IOSTAR,1.485536,0.0,0.0,0.0,0,0.0,0.0
STAR 38_ODC,IOSTAR,1.538087,0.0,0.0,0.0,0,0.0,0.0
STAR 39_ODC,IOSTAR,1.525228,0.0,0.0,0.0,0,0.0,0.0
STAR 40_OSC,IOSTAR,1.509613,0.0,0.0,0.0,0,0.0,0.0
STAR 43_OSC,IOSTAR,1.548056,0.0,0.0,0.0,0,0.0,0.0
STAR 44_OSN,IOSTAR,1.469882,0.0,0.119,0.119,0,0.0,0.0
STAR 45_ODC,IOSTAR,1.512621,0.0,0.0,0.0,0,0.0,0.0
STAR 48_OSN,IOSTAR,1.488178,0.0,0.0,0.0,0,0.0,0.0
